区域,房源维护时间,房源编号,租赁方式,房屋类型厅室,房屋类型面积,房屋类型精装修,经纪人,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金,押金,服务费,中介费
顺义 顺义城 建新南区,2020/4/16,BJ2465159960422514688,整租,1室1厅1卫,38㎡,#,林佳成,38㎡,南,6天前,随时入住,低楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,2600,2600,0,2600
昌平 鼓楼大街 北环里小区,2020/4/9,BJ2294699722914668544,整租,1室0厅1卫,44㎡,#,唐晓丽,44㎡,西,13天前,随时入住,中楼层/5层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2300,2300,0,2300
顺义 后沙峪 蓝星花园,2020/4/8,BJ2468825239509794816,整租,1室0厅1卫,36㎡,精装修,张俊利,36㎡,西,14天前,随时入住,中楼层/11层,有,租用车位,民水,民电,无,集中供暖,3年以内,需提前预约,季付,3100,3100,0,3100
昌平 沙河 北街家园五区,2020/4/15,BJ2433285895756464128,整租,1房间1卫,18㎡,#,刘志飞,18㎡,东,7天前,随时入住,低楼层/28层,有,免费使用,商水,商电,无,自采暖,2年以内,需提前预约,季付,1200,1200,0,1200
大兴 旧宫 富力盛悦居,2020/4/9,BJ2334845205435924480,整租,1房间0卫,33㎡,#,丁佳奇,33㎡,东,13天前,随时入住,高楼层/18层,有,暂无数据,商水,商电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
朝阳 常营 北京像素南区,2020/4/16,BJ2404907338927980544,整租,1房间1卫,52㎡,#,张帅,52㎡,西南,6天前,随时入住,高楼层/23层,有,租用车位,民水,民电,无,集中供暖,2年以内,需提前预约,季付,3800,3800,0,3800
朝阳 双桥 北花园小区,2020/4/16,BJ2487737662774190080,整租,1室1厅1卫,51㎡,精装修,宋刘江,51㎡,南,6天前,随时入住,低楼层/28层,有,租用车位,暂无数据,暂无数据,暂无数据,暂无数据,1年以内,只能周末看房,季付,4300,4300,0,4300
昌平 东关 清秀园北区,2020/4/17,BJ2484736145297522688,整租,1室0厅1卫,34㎡,#,唐晓丽,34㎡,南,5天前,随时入住,高楼层/7层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,3000,3000,0,3000
朝阳 石佛营 炫特嘉园二期,2020/4/17,BJ2478126323991068672,整租,1室0厅1卫,36㎡,精装修,徐亮,36㎡,北,5天前,随时入住,低楼层/28层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4800,4800,0,4800
房山 良乡 玉竹园小区一里,2020/4/17,BJ2467944317776568320,整租,1房间1卫,39㎡,#,马秀玲,39㎡,北,5天前,随时入住,中楼层/4层,无,租用车位,民水,民电,无,集中供暖,2年以内,需提前预约,季付,1800,1800,0,1800
朝阳 管庄 华龙美树,2020/4/17,BJ2486137883548205056,整租,1室0厅1卫,35㎡,#,刘禹希,35㎡,北,5天前,随时入住,高楼层/18层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,4100,4100,0,4100
东城 东直门 炮局头条,2020/4/17,BJ2483411611843837952,整租,1室1厅1卫,17㎡,#,马洁,17㎡,南,5天前,随时入住,低楼层/1层,无,暂无数据,民水,民电,无,自采暖,3年以内,需提前预约,季付,4300,4300,0,4300
海淀 公主坟 普惠北里,2020/4/17,BJ2429673931532681216,整租,1室0厅0卫,15㎡,#,李英豪,15㎡,南,5天前,随时入住,高楼层/5层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3300,3300,0,3300
大兴 天宫院 保利春天派,2020/4/17,BJ2385494615509188608,整租,1房间1卫,47㎡,#,卢向宇,47㎡,西,5天前,随时入住,低楼层/12层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
东城 东四 罗车胡同,2020/4/17,BJ2404917773542637568,整租,1室1厅0卫,10㎡,#,刘阳,10㎡,东 西,5天前,随时入住,低楼层/1层,无,暂无数据,民水,民电,无,自采暖,3年以上,需提前预约,季付,3600,3600,0,3600
朝阳 石佛营 炫特嘉园一期,2020/4/17,BJ2491348374344187904,整租,1室0厅1卫,46㎡,精装修,黄泽鹏,46㎡,西,5天前,2020/5/5,高楼层/22层,有,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4700,4700,0,4700
东城 崇文门 兴隆都市馨园,2020/4/18,BJ2450063276500336640,整租,1室0厅1卫,30㎡,精装修,史思雨,30㎡,北,4天前,随时入住,中楼层/7层,有,暂无数据,民水,民电,无,集中供暖,1年以内,需提前预约,季付,4500,4500,0,4500
大兴 黄村中 富强东里,2020/4/19,BJ2491391292081717248,整租,2室0厅1卫,45㎡,#,田宇,45㎡,南,3天前,随时入住,高楼层/5层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,3年以内,需提前预约,需咨询,3100,3100,0,3100
朝阳 垡头 翠成馨园C区,2020/4/19,BJ2494204727974166528,整租,1室0厅1卫,54㎡,#,王刚,54㎡,东,3天前,随时入住,高楼层/16层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4300,4300,0,4300
朝阳 望京 点击未来,2020/4/19,BJ2428232367249563648,整租,1室0厅1卫,39㎡,精装修,安雅妮,39㎡,西北,3天前,随时入住,低楼层/14层,有,租用车位,民水,民电,无,自采暖,3年以内,需提前预约,季付,5100,5100,0,5100
朝阳 望京 融科橄榄城一期,2020/4/19,BJ2487513713172037632,整租,1室0厅1卫,27㎡,精装修,白广月,27㎡,南,3天前,随时入住,低楼层/28层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,需咨询,4700,4700,0,4700
昌平 鼓楼大街 南环里,2020/4/19,BJ2383268845621354496,整租,1室1厅1卫,53㎡,#,郑红梅,53㎡,东,3天前,随时入住,低楼层/10层,有,租用车位,民水,民电,无,集中供暖,3年以上,需提前预约,季付,2800,2800,0,2800
朝阳 方庄 10AM新坐标,2020/4/16,BJ2459312274478219264,整租,1室0厅1卫,28㎡,#,侯文林,28㎡,西,6天前,随时入住,中楼层/29层,有,租用车位,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4300,4300,0,4300
亦庄开发区 亦庄 国融国际,2020/4/18,BJ2457362072309342208,整租,1室0厅1卫,33㎡,#,李跞博,33㎡,南,4天前,随时入住,高楼层/23层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3600,3600,0,3600
亦庄开发区 亦庄 国融国际,2020/4/18,BJ2426691241891864576,整租,1室0厅1卫,33㎡,#,李晋,33㎡,北,4天前,随时入住,中楼层/23层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3600,3600,0,3600
朝阳 石佛营 炫特嘉园一期,2020/4/18,BJ2486751133817634816,整租,1室0厅1卫,44㎡,精装修,雷小燕,44㎡,南,4天前,随时入住,低楼层/18层,有,租用车位,民水,民电,有,集中供暖,1~3个月,需提前预约,季付,4800,4800,0,4800
朝阳 潘家园 弘善家园,2020/4/19,BJ2468035984214990848,整租,1室0厅1卫,41㎡,#,孙兆越,41㎡,南,3天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,4500,4500,0,4500
亦庄开发区 亦庄 国融国际,2020/4/19,BJ2405022281555787776,整租,1室0厅1卫,33㎡,#,李跞博,33㎡,南,3天前,随时入住,中楼层/23层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3500,3500,0,3500
朝阳 方庄 10AM新坐标,2020/4/19,BJ2488333675100372992,整租,1室0厅1卫,41㎡,#,李金龙,41㎡,西,3天前,随时入住,中楼层/29层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,5100,5100,0,5100
朝阳 健翔桥 健翔国际公寓,2020/4/18,BJ2470071756157886464,整租,1室0厅1卫,27㎡,#,赵帆,27㎡,西,4天前,随时入住,中楼层/13层,有,租用车位,商水,民电,无,集中供暖,3年以内,需提前预约,需咨询,4300,4300,0,4300
海淀 西三旗 SOCO公社,2020/4/19,BJ2494005293332578304,整租,1房间1卫,43㎡,#,简中琴,43㎡,北,3天前,随时入住,高楼层/18层,有,租用车位,商水,商电,有,集中供暖,3年以内,需提前预约,季付,4200,4200,0,4200
西城 广安门 荣丰2008,2020/4/18,BJ2494350551375159296,整租,1室1厅1卫,29㎡,精装修,张悦,29㎡,北,4天前,随时入住,高楼层/20层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,3200,3200,0,3200
朝阳 百子湾 大成国际,2020/4/18,BJ2420924518589022208,整租,1室0厅1卫,48㎡,#,张建强,48㎡,东,4天前,随时入住,低楼层/21层,有,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,季付,4200,4200,0,4200
亦庄开发区 亦庄 国融国际,2020/4/19,BJ2405022281555787776,整租,1室0厅1卫,33㎡,#,李跞博,33㎡,南,3天前,随时入住,中楼层/23层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3500,3500,0,3500
朝阳 甘露园 天天朝阳,2020/4/19,BJ2482577813350662144,整租,1室0厅1卫,38㎡,精装修,王小丽,38㎡,东,3天前,随时入住,中楼层/16层,有,暂无数据,民水,民电,有,自采暖,2年以内,需提前预约,季付,4600,4600,0,4600
朝阳 潘家园 弘善家园,2020/4/19,BJ2468035984214990848,整租,1室0厅1卫,41㎡,#,孙兆越,41㎡,南,3天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,4500,4500,0,4500
丰台 刘家窑 首开石榴派,2020/4/19,BJ2397583413692604416,整租,1房间1卫,42㎡,#,刘笑,42㎡,北,3天前,随时入住,中楼层/8层,有,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,季付,3800,3800,0,3800
海淀 西三旗 SOCO公社,2020/4/19,BJ2494005293332578304,整租,1房间1卫,43㎡,#,罗攀,43㎡,北,3天前,随时入住,高楼层/18层,有,租用车位,商水,商电,有,集中供暖,3年以内,需提前预约,季付,4200,4200,0,4200
朝阳 方庄 10AM新坐标,2020/4/19,BJ2488333675100372992,整租,1室0厅1卫,41㎡,#,周靖武,41㎡,西,3天前,随时入住,中楼层/29层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,5100,5100,0,5100
丰台 太平桥 威尔夏大道,2020/4/19,BJ2460954501956509696,整租,1室0厅1卫,35㎡,精装修,宋焕锐,35㎡,西北,3天前,随时入住,中楼层/8层,有,暂无数据,暂无数据,暂无数据,无,自采暖,3年以内,一般下班后可看,季付,3800,3800,0,3800
昌平 鼓楼大街 新悦家园,2020/4/19,BJ2432478354872467456,整租,1室0厅1卫,39㎡,#,关美娇,39㎡,南,3天前,随时入住,低楼层/6层,无,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,2800,2800,0,2800
东城 崇文门 兴隆都市馨园,2020/4/19,BJ2443480628470497280,整租,1室0厅1卫,32㎡,精装修,王杨,32㎡,南,3天前,随时入住,中楼层/7层,有,租用车位,民水,民电,无,集中供暖,2年以内,需提前预约,季付,5300,5300,0,5300
朝阳 大望路 易构空间,2020/4/16,BJ2471683028858961920,整租,1室0厅1卫,42㎡,#,贾娟,42㎡,东,6天前,随时入住,低楼层/24层,有,租用车位,民水,民电,无,集中供暖,2年以内,需提前预约,季付,5000,5000,0,5000
丰台 北京南站 世纪金色嘉园,2020/4/19,BJ2472494541698514944,整租,1室0厅1卫,26㎡,精装修,靳羽笙,26㎡,东,3天前,随时入住,中楼层/30层,有,暂无数据,民水,民电,有,自采暖,3年以内,需提前预约,季付,3600,3600,0,3600
东城 东四 新太仓胡同,2020/4/20,BJ2380219666095685632,整租,1室0厅0卫,15㎡,#,郭彦斌,15㎡,南,2天前,随时入住,低楼层/1层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以上,需提前预约,季付,3000,3000,0,3000
东城 陶然亭 三元街11号,2020/4/13,BJ2431963818403315712,整租,3室1厅1卫,70㎡,#,康林立,70㎡,南 北,9天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,5300,5300,0,5300
西城 广安门 荣丰2008,2020/4/20,BJ2488159188338360320,整租,1室0厅1卫,22㎡,精装修,张悦,22㎡,北,2天前,2020/5/20,中楼层/20层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3600,3600,0,3600
东城 交道口 东旺胡同,2020/4/20,BJ2351323473534009344,整租,1室1厅1卫,18㎡,#,朱良文,18㎡,西,2天前,随时入住,低楼层/1层,无,暂无数据,民水,民电,无,自采暖,3年以上,需提前预约,季付,3500,3500,0,3500
东城 崇文门 兴隆都市馨园,2020/4/20,BJ2476013919957680128,整租,1室0厅1卫,30㎡,#,钱朋,30㎡,南,2天前,随时入住,低楼层/7层,有,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,半年付,4500,4500,0,4500
东城 交道口 东旺胡同,2020/4/20,BJ2378714370353414144,整租,1室0厅1卫,13㎡,精装修,郭彦斌,13㎡,北,2天前,随时入住,低楼层/1层,无,暂无数据,民水,民电,无,自采暖,3年以上,需提前预约,季付,4200,4200,0,4200
海淀 牡丹园 中鑫嘉园,2020/4/21,BJ2492465654217842688,整租,1室0厅1卫,18㎡,#,徐清清,18㎡,北,1天前,随时入住,高楼层/25层,有,租用车位,民水,民电,有,自采暖,3年以内,需提前预约,季付,4000,4000,0,4000
海淀 清河 高巢,2020/4/21,BJ2484597932276858880,整租,1房间1卫,43㎡,精装修,孙传增,43㎡,北,1天前,随时入住,地下室/15层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,2200,2200,0,2200
东城 东四 九道湾北巷,2020/4/21,BJ2388247030637273088,整租,1室0厅0卫,15㎡,#,闫晓燕,15㎡,南,1天前,随时入住,低楼层/1层,无,暂无数据,民水,民电,暂无数据,暂无数据,3年以内,需提前预约,季付,2700,2700,0,2700
朝阳 健翔桥 健翔国际公寓,2020/4/21,BJ2475316148279975936,整租,1室0厅1卫,27㎡,精装修,李娟,27㎡,西,1天前,随时入住,高楼层/13层,有,暂无数据,商水,民电,无,集中供暖,1年以内,需提前预约,季付,4300,4300,0,4300
朝阳 百子湾 沿海赛洛城三期,2020/4/20,BJ2433984327055851520,整租,1室0厅1卫,49㎡,精装修,张建强,49㎡,北,2天前,随时入住,中楼层/14层,有,租用车位,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5000,5000,0,5000
朝阳 立水桥 明天生活馆,2020/4/21,BJ2490504200183103488,整租,1房间1卫,49㎡,#,雷茹,49㎡,南,1天前,随时入住,高楼层/17层,有,租用车位,商水,商电,无,集中供暖,3年以上,需提前预约,季付,3500,3500,0,3500
朝阳 管庄 华龙美树,2020/4/21,BJ2465970236872982528,整租,1室1厅1卫,37㎡,精装修,孟凯琦,37㎡,北,1天前,随时入住,低楼层/19层,有,租用车位,民水,民电,有,自采暖,3年以内,需提前预约,季付,4300,4300,0,4300
朝阳 常营 常楹公元自由派,2020/4/21,BJ2425258483701530624,整租,1房间1卫,37㎡,#,高珊珊,37㎡,东,1天前,随时入住,低楼层/23层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,需咨询,3800,3800,0,3800
顺义 后沙峪 蓝星花园,2020/4/20,BJ2481687268122181632,整租,1室0厅1卫,32㎡,#,金晓磊,32㎡,北,2天前,随时入住,高楼层/11层,有,租用车位,民水,民电,无,集中供暖,1年以内,需提前预约,季付,2800,2800,0,2800
丰台 北京南站 世纪金色嘉园,2020/4/20,BJ2488352686437834752,整租,1室0厅1卫,26㎡,#,余发宝,26㎡,西,2天前,随时入住,低楼层/30层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,3600,3600,0,3600
朝阳 垡头 垡头北里,2020/4/18,BJ2493277491536330752,整租,3室0厅1卫,69㎡,#,房婉华,69㎡,南 北,4天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,5000,5000,0,5000
海淀 苏州桥 友谊社区,2020/4/20,BJ2422182460034400256,整租,1室0厅0卫,18㎡,#,马可欣,18㎡,东,2天前,2020/5/14,低楼层/4层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3100,3100,0,3100
朝阳 百子湾 大成国际,2020/4/21,BJ2478991491809148928,整租,1室0厅1卫,36㎡,#,刘恩慧,36㎡,西,1天前,随时入住,高楼层/21层,有,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,需咨询,4600,4600,0,4600
朝阳 南沙滩 懿品阁,2020/4/20,BJ2484063451320950784,整租,1室0厅1卫,35㎡,精装修,王玉坤,35㎡,西,2天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5000,5000,0,5000
东城 永定门 城市亮点,2020/4/20,BJ2403385709038936064,整租,1室0厅1卫,47㎡,精装修,郭亮,47㎡,北,2天前,随时入住,高楼层/12层,有,免费使用,民水,民电,有,集中供暖,3年以上,需提前预约,季付,4500,4500,0,4500
海淀 苏州桥 友谊社区,2020/4/20,BJ2422182460034400256,整租,1室0厅0卫,18㎡,#,王兆维,18㎡,东,2天前,2020/5/14,低楼层/4层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3100,3100,0,3100
东城 崇文门 兴隆都市馨园,2020/4/20,BJ2476013919957680128,整租,1室0厅1卫,30㎡,#,齐胜虎,30㎡,南,2天前,随时入住,低楼层/7层,有,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,半年付,4500,4500,0,4500
海淀 田村 田村半壁店90号院,2020/4/20,BJ2476195819674943488,整租,1室1厅1卫,43㎡,#,马佳男,43㎡,南,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,4500,4500,0,4500
朝阳 常营 柏林爱乐二期,2020/4/20,BJ2480385087926452224,整租,1室0厅1卫,49㎡,精装修,王倩,49㎡,北,2天前,随时入住,中楼层/21层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4600,4600,0,4600
朝阳 潘家园 弘善家园,2020/4/22,BJ2459362530410643456,整租,1室0厅1卫,47㎡,#,谢佳佳,47㎡,南,今天,随时入住,中楼层/26层,有,暂无数据,民水,民电,有,自采暖,2年以内,需提前预约,季付,4700,4700,0,4700
朝阳 石佛营 炫特嘉园一期,2020/4/22,BJ2408639945091579904,整租,1室0厅1卫,37㎡,精装修,方登君,37㎡,北,今天,随时入住,高楼层/18层,有,暂无数据,民水,民电,有,集中供暖,2年以内,只能周末看房,季付,4900,4900,0,4900
丰台 草桥 玺萌鹏苑,2020/4/22,BJ2480891327450464256,整租,1室0厅1卫,34㎡,精装修,钟原,34㎡,北,今天,随时入住,中楼层/24层,有,免费使用,民水,民电,有,集中供暖,3年以上,需提前预约,季付,3600,3600,0,3600
东城 交道口 马园胡同,2020/4/19,BJ2488381426840371200,整租,1室0厅0卫,10㎡,#,张帆,10㎡,西,3天前,随时入住,低楼层/1层,无,暂无数据,暂无数据,暂无数据,暂无数据,自采暖,3年以内,一般下班后可看,季付,2600,2600,0,2600
海淀 苏州桥 三义庙北,2020/4/21,BJ2489054879919128576,整租,1室0厅1卫,20㎡,#,姜蓬辉,20㎡,南,1天前,2020/5/10,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3800,3800,0,3800
西城 六铺炕 鼓楼西大街,2020/4/22,BJ2343342793851936768,整租,1室0厅0卫,12㎡,#,刘永成,12㎡,西,今天,随时入住,低楼层/1层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
朝阳 方庄 10AM新坐标,2020/4/22,BJ2485283156677099520,整租,1室0厅1卫,30㎡,精装修,吴庆欣,30㎡,北,今天,随时入住,中楼层/29层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,4400,4400,0,4400
朝阳 常营 北京新天地二期,2020/4/19,BJ2390301874994814976,整租,1室0厅1卫,44㎡,#,盛志超,44㎡,南,3天前,随时入住,低楼层/15层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,3800,3800,0,3800
房山 良乡 北京时代广场,2020/4/22,BJ2494082086684860416,整租,2房间1卫,35㎡,#,王硕,35㎡,南,今天,随时入住,低楼层/17层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,需咨询,2500,2500,0,2500
东城 东四 育群胡同,2020/4/22,BJ2362809203129073664,整租,1室0厅0卫,15㎡,#,胡海洋,15㎡,南,今天,随时入住,低楼层/1层,无,暂无数据,民水,民电,暂无数据,暂无数据,3年以内,需提前预约,季付,2800,2800,0,2800
朝阳 石佛营 炫特嘉园三期,2020/4/22,BJ2490409656292753408,整租,1室0厅1卫,43㎡,#,周宏杜,43㎡,北,今天,随时入住,低楼层/18层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4600,4600,0,4600
丰台 草桥 玺萌丽苑,2020/4/11,BJ2485459770933248000,整租,1室0厅1卫,28㎡,#,徐改,28㎡,北,11天前,随时入住,中楼层/23层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,3800,3800,0,3800
朝阳 常营 北京新天地二期,2020/4/22,BJ2491412293825331200,整租,1室0厅1卫,42㎡,#,盛志超,42㎡,南,今天,随时入住,低楼层/28层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,需咨询,3700,3700,0,3700
朝阳 立水桥 明天生活馆,2020/4/22,BJ2409329575122444288,整租,1房间1卫,46㎡,#,李伟伟,46㎡,东南,今天,随时入住,中楼层/17层,有,租用车位,商水,商电,无,集中供暖,2年以内,需提前预约,季付,3500,3500,0,3500
东城 广渠门 东方财富,2020/4/22,BJ2398463064031895552,整租,1室0厅1卫,45㎡,#,郭飞,45㎡,西,今天,随时入住,低楼层/15层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5500,5500,0,5500
海淀 安宁庄 上林溪,2020/4/22,BJ2401293234887467008,整租,1房间1卫,30㎡,精装修,孙晓盼,30㎡,南,今天,随时入住,地下室/11层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4200,4200,0,4200
丰台 洋桥 洋桥西里,2020/4/17,BJ2492627459862962176,整租,1室1厅1卫,40㎡,#,罗珂兰,40㎡,南,5天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3500,3500,0,3500
西城 白纸坊 白纸坊胡同,2020/4/22,BJ2390348230543286272,整租,2室0厅1卫,39㎡,#,班煜苹,39㎡,东 西,今天,随时入住,中楼层/4层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,3年以上,需提前预约,季付,3500,3500,0,3500
东城 崇文门 兴隆都市馨园,2020/4/22,BJ2489062382454972416,整租,1室0厅1卫,24㎡,精装修,闻爱清,24㎡,北,今天,随时入住,中楼层/7层,有,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,季付,4500,4500,0,4500
东城 崇文门 兴隆都市馨园,2020/4/22,BJ2476046730236264448,整租,1室0厅1卫,21㎡,精装修,史思雨,21㎡,东,今天,随时入住,高楼层/7层,有,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,季付,4900,4900,0,4900
东城 安定门 永恒胡同,2020/4/22,BJ2484800080138207232,整租,1室0厅1卫,16㎡,#,韩爽,16㎡,北,今天,随时入住,低楼层/1层,无,暂无数据,民水,民电,暂无数据,暂无数据,3年以上,需提前预约,季付,3100,3100,0,3100
丰台 木樨园 宣祥家园,2020/4/22,BJ2407143805984702464,整租,1室1厅1卫,67㎡,精装修,胡亚玲,67㎡,东,今天,随时入住,低楼层/26层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,3800,3800,0,3800
朝阳 惠新西街 胜古北里,2020/4/22,BJ2468144374425862144,整租,1室0厅1卫,18㎡,#,王雄,18㎡,南,今天,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4300,4300,0,4300
西城 广安门 荣丰2008,2020/4/22,BJ2491807156567801856,整租,1室0厅1卫,26㎡,精装修,王冬婷,26㎡,南,今天,随时入住,低楼层/20层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3800,3800,0,3800
朝阳 百子湾 沿海赛洛城一期,2020/4/22,BJ2470977859167469568,整租,1室0厅1卫,53㎡,精装修,马嘉欣,53㎡,西,今天,随时入住,低楼层/24层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,5000,5000,0,5000
东城 崇文门 兴隆都市馨园,2020/4/22,BJ2478973074712829952,整租,1室0厅1卫,30㎡,#,闻爱清,30㎡,西,今天,随时入住,低楼层/7层,有,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,季付,4500,4500,0,4500
石景山 八角 八角南路,2020/4/22,BJ2468623641168838656,整租,1室0厅0卫,20㎡,#,安鹏勇,20㎡,南,今天,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,一般下班后可看,需咨询,2500,2500,0,2500
通州 临河里 华业东方玫瑰A区,2020/4/22,BJ2486884779443109888,整租,1室0厅1卫,31㎡,#,郗娜,31㎡,东,今天,随时入住,高楼层/27层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,2800,2800,0,2800
东城 地安门 谢家胡同,2020/4/22,BJ2396430552808038400,整租,2室0厅0卫,28㎡,#,韩爽,28㎡,北,今天,随时入住,低楼层/1层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以上,需提前预约,季付,3900,3900,0,3900
朝阳 大望路 CBD传奇,2020/4/22,BJ2472535605049819136,整租,1室0厅1卫,44㎡,#,徐东生,44㎡,西北,今天,随时入住,中楼层/12层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4600,4600,0,4600
丰台 科技园区 设计师广场,2020/4/22,BJ2367285792730529792,整租,1室0厅1卫,35㎡,#,张瑞林,35㎡,西北,今天,随时入住,中楼层/23层,有,暂无数据,民水,民电,无,集中供暖,2年以内,需提前预约,季付,3800,3800,0,3800
东城 安定门 东绦胡同,2020/4/22,BJ2433371304829648896,整租,1室0厅0卫,16㎡,#,秦朋,16㎡,南 北,今天,随时入住,低楼层/1层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2年以内,需提前预约,季付,3500,3500,0,3500
房山 良乡 玉竹园小区一里,2020/4/22,BJ2481772700415303680,整租,1室0厅1卫,40㎡,#,王辉,40㎡,南,今天,2020/4/28,高楼层/4层,无,租用车位,民水,民电,无,集中供暖,2年以内,需提前预约,季付,1900,1900,0,1900
西城 广安门 荣丰2008,2020/4/22,BJ2491807156567801856,整租,1室0厅1卫,26㎡,精装修,刘佳奇,26㎡,南,今天,随时入住,低楼层/20层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3800,3800,0,3800
昌平 西关环岛 蓝郡国际花园,2020/4/22,BJ2468021412648976384,整租,1室0厅1卫,41㎡,#,唐晓丽,41㎡,北,今天,随时入住,高楼层/15层,有,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2500,2500,0,2500
朝阳 豆各庄 富力又一城C区,2020/4/22,BJ2411539903126183936,整租,1室0厅1卫,47㎡,精装修,贾晨念,47㎡,南,今天,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,自采暖,3年以上,需提前预约,季付,4100,4100,0,4100
